FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
33,2024-08-09T18:33:16.4823067+03:30,-47,-47,46,31,35,10,-20,88,-0.531473458,0.222243637,2.03524566,-0.04536933,-0.266963959,2.39960623,-0.5359004,0.144649,2.223883,-0.03422388,-0.0227197241,2.505335,-0.393813133,0.179676086,2.42602849,-0.10175626,0.157993987,2.511941,0,0,0,0,0,0,0,0,0,0,0,0,170.27700805664062,347.42431640625,253.846435546875,338.2772827148437,1.5528,1.5024
34,2024-08-09T18:33:16.5114639+03:30,-48,-48,45,31,35,11,-20,88,-0.5347539,0.217924178,2.03692842,-0.0453180075,-0.267013669,2.39940047,-0.538311064,0.140739843,2.225583,-0.034175735,-0.0227700528,2.50481558,-0.394553453,0.178845644,2.425746,-0.101653785,0.157891273,2.51159859,0,0,0,0,0,0,0,0,0,0,0,0,170.39927673339844,347.533935546875,254.12893676757807,338.1630859375,1.5528,1.5104
35,2024-08-09T18:33:16.5438980+03:30,-49,-48,45,31,36,12,-20,88,-0.538130343,0.213040471,2.0398562,-0.0452750959,-0.267077446,2.3991797,-0.5403696,0.136282861,2.22852278,-0.0341409035,-0.0228317827,2.50426912,-0.3952899,0.178008258,2.425463,-0.101536192,0.157787025,2.51124024,0,0,0,0,0,0,0,0,0,0,0,0,170.2291259765625,347.62860107421875,253.86361694335932,338.20623779296875,1.5528,1.5104
36,2024-08-09T18:33:16.5745886+03:30,-50,-48,45,31,36,13,-20,88,-0.541753948,0.208073631,2.04213834,-0.04523797,-0.2671525,2.39894,-0.5422136,0.132419661,2.23099518,-0.03411077,-0.02291196,2.50371838,-0.396015853,0.1771646,2.42517447,-0.1014034,0.1576681,2.51085,0,0,0,0,0,0,0,0,0,0,0,0,170.24765014648438,347.5664367675781,254.1227569580078,338.1205444335937,1.5528,1.5024
37,2024-08-09T18:33:16.6073291+03:30,-50,-49,45,31,37,14,-20,88,-0.545131445,0.202781379,2.04551339,-0.0452530533,-0.2679221,2.39841,-0.5437031,0.12827684,2.23458982,-0.0342074819,-0.0236462634,2.50276828,-0.396725059,0.1763277,2.42488742,-0.101258233,0.157544285,2.51044321,0,0,0,0,0,0,0,0,0,0,0,0,170.1651153564453,347.65118408203125,254.21450805664065,338.2963256835937,1.5448,1.5024
38,2024-08-09T18:33:16.6447799+03:30,-51,-49,44,30,37,15,-20,87,-0.5482627,0.1973369,2.04948354,-0.0452677049,-0.268506944,2.39790034,-0.5449637,0.124043956,2.23881555,-0.0343082175,-0.0241689719,2.50175667,-0.3974317,0.17550078,2.424611,-0.101278082,0.15734233,2.50973272,0,0,0,0,0,0,0,0,0,0,0,0,170.12823486328125,347.4240417480469,254.06655883789065,338.12274169921875,1.5528,1.5104
39,2024-08-09T18:33:16.6738989+03:30,-53,-50,43,30,38,17,-20,87,-0.5511376,0.191885591,2.05368781,-0.0452812277,-0.268955946,2.397415,-0.54610604,0.119830541,2.24330425,-0.0344081968,-0.0245446377,2.50072861,-0.398118734,0.174697652,2.42434931,-0.101332232,0.157119021,2.50891018,0,0,0,0,0,0,0,0,0,0,0,0,170.15264892578125,347.426513671875,253.95811462402344,338.18585205078125,1.5448,1.5024
40,2024-08-09T18:33:16.7062362+03:30,-53,-51,43,30,39,18,-20,87,-0.5536739,0.187285691,2.05671668,-0.0452890359,-0.26929158,2.39696312,-0.5477601,0.115521967,2.24626827,-0.0344896056,-0.0248065852,2.49973154,-0.398781747,0.173923329,2.42410922,-0.101487808,0.156839028,2.5078783,0,0,0,0,0,0,0,0,0,0,0,0,170.32313537597656,347.54229736328125,254.377197265625,338.2527770996094,1.5528,1.5024
41,2024-08-09T18:33:16.7423462+03:30,-54,-52,43,30,39,19,-20,87,-0.555864155,0.183129236,2.05881333,-0.0452926159,-0.269553363,2.3965373,-0.54971534,0.111234367,2.24817657,-0.0345529467,-0.0250018314,2.49878478,-0.399422169,0.173186988,2.42390752,-0.101612985,0.156555846,2.50681067,0,0,0,0,0,0,0,0,0,0,0,0,170.3372802734375,347.658203125,254.1122131347656,338.2450561523437,1.5528,1.5104
42,2024-08-09T18:33:16.7736486+03:30,-56,-53,44,30,39,21,-20,88,-0.557687,0.179171637,2.06017447,-0.0452905335,-0.269757,2.39613414,-0.5518364,0.107035786,2.24934363,-0.0345917046,-0.0251479447,2.497893,-0.400033444,0.1724923,2.42373967,-0.101665892,0.156296968,2.50580359,0,0,0,0,0,0,0,0,0,0,0,0,170.3626708984375,347.4085388183594,254.06134033203125,338.30010986328125,1.5448,1.5024
