FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
24,2024-08-09T16:59:21.8696483+03:30,-36,-20,79,33,21,-1,-33,77,-0.3331566,0.282295316,1.94281948,0.3180391,-0.113402084,2.26240039,-0.315699875,0.230475157,2.16956234,0.238569587,0.0214906428,2.414525,-0.232003257,0.2260937,2.3909986,0.1095333,0.216287956,2.45771623,0,0,0,0,0,0,0,0,0,0,0,0,225.35116577148438,347.37506103515625,160.38377380371094,337.03216552734375
25,2024-08-09T16:59:21.9032704+03:30,-35,-20,83,33,21,-2,-34,80,-0.332588762,0.285589039,1.94296134,0.331867337,-0.114289463,2.28274083,-0.315274239,0.232663348,2.168957,0.24304837,0.02211906,2.42478585,-0.231609732,0.226276487,2.390518,0.110178009,0.216143176,2.46047831,0,0,0,0,0,0,0,0,0,0,0,0,224.95806884765625,347.4139404296875,160.3297882080078,337.0042724609375
26,2024-08-09T16:59:21.9357076+03:30,-35,-20,85,31,21,-2,-35,81,-0.3318955,0.288571149,1.94297159,0.34458065,-0.114096351,2.301506,-0.3146449,0.234741062,2.16830063,0.247491717,0.0231092554,2.43440175,-0.231231526,0.226446837,2.39003539,0.110840842,0.216031566,2.463249,0,0,0,0,0,0,0,0,0,0,0,0,225.15304565429688,347.75384521484375,160.66207885742188,337.1358642578125
27,2024-08-09T16:59:21.9703389+03:30,-35,-19,88,30,20,-3,-36,83,-0.331076473,0.291270137,1.94288,0.35632363,-0.113703348,2.318543,-0.313909382,0.236678541,2.1676116,0.251411945,0.0241549034,2.44367552,-0.230867475,0.226577982,2.38953543,0.111506552,0.215942189,2.46599364,0,0,0,0,0,0,0,0,0,0,0,0,225.0890350341797,347.27667236328125,160.22216796875,337.0950927734375
28,2024-08-09T16:59:22.0015106+03:30,-35,-19,90,30,20,-3,-37,85,-0.330158681,0.29368645,1.94269526,0.3668177,-0.113456495,2.33427644,-0.313098252,0.238474742,2.166895,0.254729241,0.02510465,2.45253181,-0.230513215,0.226643011,2.38900924,0.112152845,0.215868711,2.46865559,0,0,0,0,0,0,0,0,0,0,0,0,225.28842163085938,347.32366943359375,160.353759765625,337.1023254394531
29,2024-08-09T16:59:22.0386383+03:30,-36,-19,94,29,20,-3,-37,87,-0.329185933,0.295856148,1.94244468,0.375823766,-0.114041813,2.347858,-0.3122517,0.240131378,2.16616559,0.257342875,0.0256738625,2.460663,-0.230137557,0.226635993,2.38844633,0.112758413,0.215812117,2.47120833,0,0,0,0,0,0,0,0,0,0,0,0,225.27500915527344,347.2890930175781,160.67379760742188,337.07501220703125
30,2024-08-09T16:59:22.0709207+03:30,-33,-19,96,29,20,-4,-37,88,-0.328166157,0.2977829,1.94216025,0.383360326,-0.117576532,2.35901141,-0.311421663,0.241626963,2.165451,0.259504527,0.0251003318,2.46790481,-0.229757711,0.22658366,2.38787413,0.113289393,0.2157581,2.47361827,0,0,0,0,0,0,0,0,0,0,0,0,225.3582000732422,347.6007080078125,160.1806640625,337.0721435546875
31,2024-08-09T16:59:22.1035629+03:30,-33,-19,95,28,20,-4,-38,89,-0.327134132,0.2995055,1.94186354,0.389246464,-0.122826725,2.36839771,-0.310622782,0.242969185,2.164762,0.261294127,0.02364935,2.4740963,-0.229386434,0.2264983,2.38730812,0.113720752,0.215684921,2.475863,0,0,0,0,0,0,0,0,0,0,0,0,225.02537536621094,347.45440673828125,160.46424865722656,337.189697265625
32,2024-08-09T16:59:22.1385011+03:30,-31,-18,98,28,20,-5,-37,90,-0.3260794,0.301050633,1.94157553,0.393459946,-0.1294823,2.37607145,-0.3098773,0.244139388,2.1641078,0.2625706,0.0213774,2.47967839,-0.229033932,0.226395413,2.386762,0.114048861,0.21563071,2.47799516,0,0,0,0,0,0,0,0,0,0,0,0,225.09881591796875,347.23748779296875,160.48486328125,337.0972900390625
33,2024-08-09T16:59:22.1699424+03:30,-31,-18,97,28,20,-5,-37,91,-0.325041741,0.302326858,1.94128239,0.3959433,-0.136732563,2.382573,-0.309191734,0.245140955,2.1634984,0.263209552,0.0186310038,2.48449445,-0.228688523,0.226279035,2.38624215,0.114288524,0.215590075,2.47999859,0,0,0,0,0,0,0,0,0,0,0,0,225.14898681640625,347.3651123046875,160.5750274658203,336.99395751953125
34,2024-08-09T16:59:22.2024489+03:30,-31,-19,97,28,20,-5,-37,92,-0.324026674,0.3033527,1.94099748,0.396623075,-0.1440003,2.38809085,-0.308558375,0.245983765,2.162943,0.2632484,0.0154732689,2.48871732,-0.228319868,0.226147026,2.385749,0.114431642,0.215546653,2.481845,0,0,0,0,0,0,0,0,0,0,0,0,225.20196533203125,347.5145263671875,160.40130615234375,337.05706787109375
35,2024-08-09T16:59:22.2399047+03:30,-31,-19,98,27,20,-5,-36,92,-0.323050857,0.304175138,1.9407295,0.3959818,-0.151316985,2.39292049,-0.307973176,0.246661633,2.162433,0.262731522,0.0120365834,2.49240661,-0.227944732,0.226009443,2.38528728,0.114476532,0.215501726,2.483524,0,0,0,0,0,0,0,0,0,0,0,0,225.20919799804688,347.5740966796875,160.19891357421875,337.0732421875
