FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
24,2024-08-09T17:00:14.3709599+03:30,-21,-13,82,2,21,-6,-25,94,-0.304606318,0.303456068,1.93984139,0.397811174,-0.262355834,2.54829121,-0.266952157,0.259993523,2.173432,0.287210017,-0.0230221283,2.53844476,-0.173252851,0.235943466,2.413473,0.169025183,0.230736941,2.51910758,0,0,0,0,0,0,0,0,0,0,0,0
25,2024-08-09T17:00:14.4087266+03:30,-17,-12,87,3,21,-6,-25,95,-0.305136532,0.299607158,1.93757284,0.3981542,-0.262319356,2.54765248,-0.267005652,0.2591435,2.17352915,0.286985248,-0.02238189,2.53860521,-0.17336911,0.236024171,2.413336,0.168840826,0.230692655,2.51853967,0,0,0,0,0,0,0,0,0,0,0,0
26,2024-08-09T17:00:14.4407184+03:30,-18,-13,81,2,21,-5,-25,95,-0.3055053,0.295467466,1.93395078,0.3977607,-0.263308346,2.54917765,-0.267056137,0.258251131,2.173637,0.28722465,-0.0225147773,2.53871179,-0.17347464,0.236093283,2.41319227,0.168661073,0.230649337,2.51799536,0,0,0,0,0,0,0,0,0,0,0,0
27,2024-08-09T17:00:14.4734660+03:30,-14,-12,68,2,21,-5,-25,95,-0.305829972,0.2912845,1.92949355,0.396640927,-0.264135361,2.551819,-0.26713115,0.257290721,2.17370057,0.287035346,-0.0217211526,2.53864837,-0.173593342,0.236187637,2.41306925,0.168488368,0.230611935,2.517484,0,0,0,0,0,0,0,0,0,0,0,0
28,2024-08-09T17:00:14.5065031+03:30,-10,-12,40,1,21,-5,-25,95,-0.306180984,0.287177354,1.92457879,0.395311177,-0.265458,2.555266,-0.2672317,0.256288,2.17370415,0.2872502,-0.02181948,2.53843331,-0.173711792,0.236284211,2.412949,0.168334469,0.230580717,2.51701951,0,0,0,0,0,0,0,0,0,0,0,0
29,2024-08-09T17:00:14.5438555+03:30,-6,-12,1,2,21,-5,-25,95,-0.306621373,0.283205956,1.919489,0.393434048,-0.2663947,2.55909538,-0.2673511,0.2552562,2.173652,0.286949158,-0.0210854672,2.537827,-0.1738207,0.236374453,2.41282272,0.168197274,0.230554745,2.5165987,0,0,0,0,0,0,0,0,0,0,0,0
30,2024-08-09T17:00:14.5750768+03:30,-7,-12,-13,2,21,-4,-25,95,-0.3071605,0.279315323,1.91439855,0.392728925,-0.2674925,2.56083941,-0.267491132,0.254198462,2.17354226,0.287039876,-0.0212747734,2.53726077,-0.173916191,0.236453757,2.41268444,0.168083161,0.230526417,2.51622033,0,0,0,0,0,0,0,0,0,0,0,0
31,2024-08-09T17:00:14.6086669+03:30,-4,-12,-23,2,21,-4,-25,95,-0.307797939,0.275487751,1.90945971,0.391906738,-0.2689589,2.562831,-0.267674327,0.2530952,2.17341733,0.2874111,-0.022046987,2.53680873,-0.174001753,0.2365187,2.41253471,0.167989343,0.23049742,2.51587772,0,0,0,0,0,0,0,0,0,0,0,0
32,2024-08-09T17:00:14.6446491+03:30,-1,-12,-31,3,21,-4,-25,95,-0.3086255,0.271612525,1.90477479,0.389487773,-0.269537181,2.56537414,-0.26791,0.251909137,2.1732862,0.286717772,-0.0221829768,2.53651118,-0.174077153,0.236574337,2.412378,0.16790165,0.2304576,2.51553345,0,0,0,0,0,0,0,0,0,0,0,0
33,2024-08-09T17:00:14.6753562+03:30,-3,-12,-38,4,21,-3,-25,95,-0.309624016,0.267731547,1.90041792,0.3868135,-0.269610733,2.569051,-0.26818037,0.2506547,2.17317843,0.2857842,-0.02148144,2.53619027,-0.1741263,0.236598969,2.41219735,0.167839453,0.230413556,2.5152204,0,0,0,0,0,0,0,0,0,0,0,0
34,2024-08-09T17:00:14.7127054+03:30,0,-13,-40,4,22,-3,-25,95,-0.310803115,0.263721228,1.896414,0.38532415,-0.269617468,2.570866,-0.268488139,0.2493617,2.17308974,0.285320461,-0.0216756631,2.53631115,-0.1741615,0.2365849,2.411989,0.167715192,0.230289057,2.51475072,0,0,0,0,0,0,0,0,0,0,0,0
35,2024-08-09T17:00:14.7457434+03:30,3,-13,-39,4,22,-3,-25,95,-0.312142849,0.259613931,1.89277279,0.385148644,-0.2688478,2.56988144,-0.268835,0.2480555,2.173026,0.2852802,-0.0224814583,2.536389,-0.174176827,0.236473158,2.4117105,0.1675492,0.230113268,2.514181,0,0,0,0,0,0,0,0,0,0,0,0
36,2024-08-09T17:00:14.7802436+03:30,5,-13,-41,4,22,-3,-25,95,-0.313613385,0.25545302,1.88943493,0.384538084,-0.268282384,2.570016,-0.269230872,0.246738687,2.17293668,0.2845502,-0.022210978,2.536073,-0.174177855,0.236293584,2.41138983,0.167367637,0.229920179,2.51357245,0,0,0,0,0,0,0,0,0,0,0,0
37,2024-08-09T17:00:14.8120656+03:30,4,-13,-43,4,22,-2,-25,95,-0.315200657,0.251257,1.88637137,0.383856982,-0.268045455,2.57047415,-0.2696684,0.245417535,2.17279983,0.283437431,-0.0212964155,2.53574419,-0.174172387,0.236068279,2.41104817,0.167196959,0.229734465,2.51299429,0,0,0,0,0,0,0,0,0,0,0,0
