FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z,is_grasped
21,2024-08-09T16:56:34.0867244+03:30,-14,-11,104,12,15,-17,-22,98,-0.328573346,0.380058616,1.930128,0.283165127,-0.269537359,2.48993516,-0.312536448,0.3056731,2.13881159,0.175980389,-0.03345389,2.51100135,-0.248743862,0.238723874,2.36363816,0.07291113,0.222570732,2.47360826,0,0,0,0,0,0,0,0,0,0,0,0,221.405502319336,346.497314453125,154.642578125,336.9093017578125,1.592169640011272,1.5201353156969557,-1
22,2024-08-09T16:56:34.1195009+03:30,-18,-11,103,12,15,-16,-22,98,-0.328753769,0.379127681,1.929776,0.28281042,-0.26974225,2.48959756,-0.312660158,0.305173457,2.13859272,0.175826177,-0.0337520428,2.51037765,-0.2488709,0.238622025,2.363568,0.07285651,0.22258462,2.47334027,0,0,0,0,0,0,0,0,0,0,0,0,221.28689575195312,346.886962890625,154.7403564453125,336.9105224609375,1.5930074065282809,1.520011535031221,-1
23,2024-08-09T16:56:34.1555982+03:30,-17,-11,103,12,15,-16,-22,98,-0.328956932,0.378184348,1.92939126,0.282529682,-0.270018637,2.48915577,-0.312806129,0.304648578,2.1383512,0.175693229,-0.0340565033,2.50978327,-0.248902425,0.238468915,2.36344743,0.07280785,0.22257489,2.473056,0,0,0,0,0,0,0,0,0,0,0,0,221.4119110107422,346.4139404296875,154.66610717773438,336.7835998535156,1.592464401799126,1.5199042489963976,-1
24,2024-08-09T16:56:34.1865832+03:30,-17,-11,103,12,15,-16,-22,98,-0.3291788,0.377265275,1.92897952,0.2822981,-0.270284861,2.48866558,-0.3129705,0.304099441,2.138078,0.175583586,-0.0343744867,2.50922847,-0.248876661,0.238289982,2.36329913,0.0727744251,0.222539276,2.47277451,0,0,0,0,0,0,0,0,0,0,0,0,221.373779296875,346.3609313964844,154.796875,336.9206848144531,1.5919935580557667,1.5198112204175764,-1
25,2024-08-09T16:56:34.2182406+03:30,-17,-11,103,12,15,-16,-22,98,-0.3294592,0.3762681,1.92865813,0.282090336,-0.2705622,2.48813653,-0.313159257,0.303469062,2.13790154,0.175476357,-0.0347021632,2.508713,-0.248826459,0.238096878,2.363147,0.07275277,0.222490191,2.472507,0,0,0,0,0,0,0,0,0,0,0,0,221.28366088867188,346.6684875488281,154.76095581054688,336.9109191894531,1.5915851561515273,1.5197305290007843,-1
26,2024-08-09T16:56:34.2511170+03:30,-16,-11,103,12,15,-16,-22,98,-0.329795629,0.3752053,1.92840683,0.2818137,-0.270816416,2.48767519,-0.313366652,0.302772939,2.137801,0.175362036,-0.03503467,2.50823879,-0.248776972,0.237903535,2.36300325,0.07273303,0.222429708,2.472247,0,0,0,0,0,0,0,0,0,0,0,0,221.3116455078125,346.6315002441406,155.02651977539062,336.87261962890625,1.5912308305475862,1.5196605218957957,-1
27,2024-08-09T16:56:34.2852243+03:30,-16,-11,103,12,15,-16,-22,98,-0.330217332,0.374023229,1.92818427,0.2815025,-0.271138877,2.48712659,-0.3135863,0.3020345,2.13775468,0.175224259,-0.0353464261,2.50780869,-0.248748586,0.237731129,2.36288,0.07266015,0.222348645,2.47191286,0,0,0,0,0,0,0,0,0,0,0,0,221.16688537597656,346.58697509765625,154.957763671875,336.7891540527344,1.5909233656340829,1.5195997734535702,-1
28,2024-08-09T16:56:34.3180023+03:30,-14,-12,107,12,16,-16,-21,98,-0.33076337,0.372693151,1.92794,0.2811436,-0.271481723,2.48658514,-0.313822657,0.301261663,2.13771844,0.175058752,-0.0356449,2.50743151,-0.248743549,0.237581849,2.36277819,0.07255561,0.222255826,2.47154045,0,0,0,0,0,0,0,0,0,0,0,0,221.3363037109375,346.5793151855469,154.99661254882812,336.94891357421875,1.5919225589687396,1.5195470520272891,-1
29,2024-08-09T16:56:34.3503789+03:30,-13,-12,107,12,16,-16,-21,98,-0.3313873,0.371243626,1.927764,0.280763268,-0.271823585,2.48601437,-0.314088345,0.300403476,2.137762,0.174872339,-0.03592875,2.50710225,-0.248771474,0.237462834,2.36270332,0.07243698,0.22216478,2.4711597,0,0,0,0,0,0,0,0,0,0,0,0,221.32669067382807,346.65155029296875,154.860107421875,336.8063049316406,1.5915240264109334,1.5195012922808104,-1
30,2024-08-09T16:56:34.3858021+03:30,-17,-12,106,13,16,-15,-21,98,-0.332134843,0.369609475,1.92759013,0.280403972,-0.272140741,2.48510146,-0.314391553,0.299467355,2.13783455,0.1746599,-0.0362007469,2.50684071,-0.248840824,0.237365484,2.36265564,0.07230515,0.222070664,2.47077441,0,0,0,0,0,0,0,0,0,0,0,0,221.41001892089844,346.5790405273437,154.60806274414062,336.8869323730469,1.5911780919932674,1.5194615718842188,-1
